"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","12.5329","12.7346","12.7805","12.3402","","-1.50%"
"10/01/2024","12.7239","12.4996","12.7595","12.3880","","2.05%"
"09/01/2024","12.4680","12.3724","12.8691","12.2573","","0.08%"
"08/01/2024","12.4581","12.3927","13.1584","12.1726","","0.46%"
"07/01/2024","12.4011","11.9054","12.6927","11.6664","","4.55%"
"06/01/2024","11.8610","11.6212","12.0640","11.5766","","2.25%"
"05/01/2024","11.6002","12.0906","12.1636","11.4667","","-3.97%"
"04/01/2024","12.0793","11.9913","12.3076","11.7577","","0.79%"
"03/01/2024","11.9850","12.0064","12.1640","11.7683","","0.02%"
"02/01/2024","11.9828","12.1946","12.3035","11.8630","","-1.72%"
"01/01/2024","12.1929","12.0687","12.2683","11.9663","","1.28%"
"12/01/2023","12.0384","12.3512","12.5653","11.7986","","-2.50%"
"11/01/2023","12.3472","12.2849","12.4895","12.0402","","0.66%"
"10/01/2023","12.2667","11.6837","12.5603","11.6384","","5.10%"
"09/01/2023","11.6715","12.0402","12.1363","11.5983","","-3.01%"
"08/01/2023","12.0333","11.6191","12.1817","11.5536","","3.68%"
"07/01/2023","11.6065","12.0098","12.1047","11.5224","","-2.99%"
"06/01/2023","11.9643","12.1743","12.3124","11.6987","","-1.67%"
"05/01/2023","12.1679","11.9579","12.5321","11.7493","","2.28%"
"04/01/2023","11.8971","11.4405","12.0346","11.2540","","4.08%"
"03/01/2023","11.4302","11.0242","11.7362","10.9587","","3.81%"
"02/01/2023","11.0103","10.8989","11.2706","10.8411","","1.11%"
"01/01/2023","10.8892","10.6902","10.9892","10.5456","","2.80%"
"12/01/2022","10.5931","10.4071","10.7573","10.3412","","1.87%"
"11/01/2022","10.3987","10.3902","10.7539","10.2566","","0.30%"
"10/01/2022","10.3679","11.0537","11.0905","10.3116","","-5.94%"
"09/01/2022","11.0232","10.1379","11.1202","10.0860","","8.70%"
"08/01/2022","10.1406","10.1675","10.3206","9.9705","","-0.04%"
"07/01/2022","10.1445","10.3086","10.5161","10.1101","","-1.53%"
"06/01/2022","10.3025","9.7828","10.4569","9.6587","","5.36%"
"05/01/2022","9.7780","9.6137","10.1107","9.4544","","1.64%"
"04/01/2022","9.6205","9.5277","9.7133","9.2282","","1.05%"
"03/01/2022","9.5204","9.6186","9.8454","9.1983","","-0.98%"
"02/01/2022","9.6146","9.5988","9.8649","9.4385","","0.26%"
"01/01/2022","9.5893","9.6650","9.8984","9.4450","","-0.63%"
"12/01/2021","9.6501","9.8376","10.0379","9.5716","","-1.81%"
"11/01/2021","9.8283","9.2189","9.9019","9.1756","","6.64%"
"10/01/2021","9.2160","9.3904","9.4389","8.9985","","-1.80%"
"09/01/2021","9.3845","9.4976","9.5535","9.2284","","-1.17%"
"08/01/2021","9.4953","9.7494","9.9420","9.4207","","-2.41%"
"07/01/2021","9.7295","9.3008","9.8778","9.2652","","4.67%"
